point,temperature,humidity
강릉, 3.7, 39
강진군, 4.4, 68
강화, -1.7, 70
거제, 3.2, 77
거창, 0.3, 68
경주시, 3.6, 43
고산, 6.2, 82
고창, 1.5, 87
고창군, 1.7, 77
고흥, 5.7, 62
광양시, 5.2, 56
광주, 1.8, 94
구미, -0.4, 62
군산, 0.2, 83
금산, -0.5, 82
김해시, 3.4, 53
남원, 0.2, 80
남해, 2.8, 65
대관령, -4.9, 68
대구, 2.8, 49
대전, 0.7, 71
동두천, -1.2, 64
동해, 3.8, 37
목포, 1.2, 92
문경, -1.0, 72
밀양, 3.4, 41
백령도, -1.0, 83
보령, -0.1, 89
보성군, 4.0, 65
보은, -0.2, 77
봉화, -0.2, 62
부산, 3.5, 57
부안, 1.4, 84
부여, -1.7, 91
북강릉, 3.4, 37
북부산, 3.7, 47
북창원, 4.4, 50
북춘천, -4.3, 57
산청, 2.0, 71
상주, -0.4, 76
서귀포, 9.9, 49
서산, 2.6, 64
서울, -1.0, 71
서청주, -1.4, 76
성산, 6.4, 79
세종, -0.5, 78
속초, 2.6, 39
수원, 0.6, 62
순창군, 0.2, 82
순천, 2.6, 69
안동, -1.8, 69
양산시, 4.3, 49
양평, -2.6, 73
여수, 3.3, 64
영광군, 0.8, 90
영덕, 2.7, 51
영월, -1.3, 59
영주, -2.0, 65
영천, 2.8, 51
완도, 3.9, 69
울릉도, 3.3, 66
울산, 4.1, 44
울진, 4.1, 41
원주, -2.5, 74
의령군, 4.2, 50
의성, 0.5, 57
이천, -2.4, 76
인제, -2.8, 52
인천, -1.4, 76
임실, 1.0, 79
장수, -1.0, 71
장흥, 3.6, 65
전주, 2.6, 68
정선군, -1.3, 49
정읍, 1.8, 71
제주, 5.1, 81
제천, -3.4, 70
진도군, 2.2, 91
진주, 3.9, 49
창원, 2.3, 50
천안, -0.9, 74
철원, -4.8, 53
청송군, 1.0, 55
청주, -1.7, 75
추풍령, -0.8, 80
춘천, -1.7, 52
충주, -3.8, 83
태백, -2.8, 57
통영, 4.0, 68
파주, -2.2, 59
포항, 4.1, 42
함양군, 1.8, 72
합천, 4.3, 50
해남, 2.5, 79
홍성, -0.5, 78
홍천, -3.8, 60
흑산도, 4.2, 56
